oldid,city,country,latitude,longitude,name,store_id
13080,Scottsdale,US,33.6723518371582,-111.90573120117188,"Hayden & Thompson Peak, Scottsdale",18189
13094,Glendale,US,33.57920455932617,-112.1524658203125,Target Glendale T-2341,18206
13095,Phoenix,US,33.522361755371094,-112.09332275390625,Super Target Phoenix Spectrum ST-23,18208
13096,Phoenix,US,33.63923645019531,-112.06887817382812,SuperTarget - Deer Valley T-2236,18209
13138,Phoenix,US,33.64200210571289,-112.06499481201172,"7th Street & Bell, Phoenix",18270
13242,Scottsdale,US,33.62367248535156,-111.89201354980469,101 Freeway & Raintree,18407
13251,Phoenix,US,33.495792388916016,-111.97924041748047,Safeway - Phoenix #2716,18418
13407,Chandler,US,33.304237365722656,-111.8631591796875,Safeway - Chandler #1604,18620
13408,Mesa,US,33.41624450683594,-111.87373352050781,Safeway - Mesa #1717,18621
13409,Phoenix,US,33.316673278808594,-112.00542449951172,"Fry's-Phoenix, AZ #27",18622
13426,Phoenix,US,33.50739288330078,-112.23606872558594,Safeway-Phoenix #1654,18644
13449,Glendale,US,33.581363677978516,-112.20240020751953,"67th Ave. & Peoria, Glendale",18672
13541,Phoenix,US,33.71419906616211,-112.10870361328125,USAA Phoenix Campus,18784
13554,Goodyear,US,33.43574142456055,-112.41128540039062,"Fry's-Goodyear, AZ #676",18798
13573,Gilbert,US,33.285606384277344,-111.72087097167969,"Fry's-Gilbert, AZ #670",18818
13753,Mesa,US,33.436134338378906,-111.63253021240234,Bashas - Mesa #110,19024
13856,Phoenix,US,33.58103561401367,-111.97896575927734,"Fry's-Phoenix, AZ #612",19122
13959,Goodyear,US,33.35762405395508,-112.42498016357422,Safeway-Goodyear/Estrella #3151,19253
14607,Chandler,US,33.25031280517578,-111.8413314819336,Target Chandler South T-2747,63176
14744,Phoenix,US,33.712059020996094,-112.20165252685547,"Fry's-Phoenix, AZ #73",66300
14749,Chandler,US,33.31941604614258,-111.92721557617188,Rural & Ray,66368
14769,Scottsdale,US,33.779449462890625,-111.92272186279297,Target Scottsdale T-1327,66378
14770,Peoria,US,33.68156814575195,-112.24107360839844,Fry-s-Peoria #74,66380
15198,Mesa,US,33.364418029785156,-111.87704467773438,Dobson & Guadalupe,70039
15201,Phoenix,US,33.44777297973633,-112.07478332519531,1st & Washington - Cityscape,70052
15221,Phoenix,US,33.531349182128906,-112.0134048461914,32nd St & Lincoln,86960
15314,Phoenix,US,33.43501281738281,-112.00724792480469,PHX T4-S3,87277
15316,Phoenix,US,33.43501281738281,-112.00724792480469,PHX T4 - N4,87279
15437,Phoenix,US,33.43501281738281,-112.00724792480469,PHX-T4 Baggage,88255
15575,Phoenix,US,33.48044967651367,-112.01619720458984,Frys-Phoenix #135,89161
15783,Scottsdale,US,33.630096435546875,-111.8885498046875,Frank Lloyd Wright & Loop 101,90203
16018,Phoenix,US,33.43677520751953,-112.00178527832031,PHX-T4 West Lobby,91350
16036,Laveen,US,33.37762451171875,-112.1694564819336,Frys-Laveen #87,91330
16374,Scottsdale,US,33.46708679199219,-111.91284942626953,Frys Scottsdale #5,113440
16438,Chandler,US,33.250972747802734,-111.84078216552734,"Arizona Ave & Ocotillo, Chandler",113850
16625,Glendale,US,33.71330642700195,-112.14193725585938,Happy Valley & 39th Ave,115367
16721,Phoenix,US,33.50937271118164,-112.084228515625,Fry's-Phoenix #128,116404
16741,Gilbert,US,33.379051208496094,-111.79182434082031,Frys - Gilbert #624,116410
16845,Tempe,US,33.382476806640625,-111.92637634277344,Rural & Lakeshore,116525
16872,Scottsdale,US,33.60964584350586,-111.92630004882812,Scottsdale & Thunderbird,116572
16931,Tempe,US,33.409706115722656,-111.92579650878906,Rural & Vista Del Cerro,1005180
17192,Gilbert,US,33.29756546020508,-111.74372863769531,Santan Village Pkwy & Loop 202,1005480
17325,Phoenix,US,33.487640380859375,-112.0653076171875,7th St. & Osborn,1005596
17328,Phoenix,US,33.49543380737305,-112.02114868164062,28th St & Indian School,1005602
17531,Mesa,US,33.45039367675781,-111.80491638183594,Frys Mesa #622,1005797
17629,Chandler,US,33.297733306884766,-111.90018463134766,Target Chandler T-1838,1005909
17633,Phoenix,US,33.509422302246094,-112.02985382080078,Macys @ Biltmore Fashion Park,1005913
17634,Mesa,US,33.3889045715332,-111.68467712402344,Target Mesa T-639,1005915
17644,Phoenix,US,33.53861618041992,-112.09777069091797,"Fry's-Phoenix, AZ #623",1005925
17666,Phoenix,US,33.63930130004883,-111.9782485961914,Tatum & Bell,1005978
17724,Scottsdale,US,33.67094802856445,-111.90431213378906,Frys-Scottsdale #673,1006009
